userName,content,score,date,source
HemanthaJ,I don’t know why this developer doesn’t look other competitors application.Functionals are very poor and it makes frustrate the users.,1,2022-09-21T07:55:17-07:00,App Store
Mali(&(&(&(,Bill outstanding is not updating even though I paid the full bill amount,1,2021-06-10T00:23:54-07:00,App Store
Mali(&(&(&(,Total Payable is not even updating accurately eventhough i fully settled the monthly bill. mybill section in slt.lk is better than this app,1,2021-06-10T00:16:47-07:00,App Store
Susa.abey,A useless app. Never works.,1,2021-06-04T09:00:31-07:00,App Store
RareLime.exe,Yes. It’s not functioning properly,1,2021-04-23T22:05:07-07:00,App Store
afaqb2w,Not working,1,2020-07-14T12:51:16-07:00,App Store
